NONE	Orthogroup	Aedaeg	Aedalb	Anofun	Anoste	Culpip	Culqui
NONE	OG0000000	0	169	4	0	39	56
NONE	OG0000001	1	126	0	0	26	26
NONE	OG0000002	6	9	60	78	5	2
NONE	OG0000003	2	65	18	0	31	35
NONE	OG0000004	81	47	2	0	1	3
NONE	OG0000005	31	52	14	0	6	13
NONE	OG0000006	0	67	2	0	24	13
NONE	OG0000007	2	9	1	1	44	46
NONE	OG0000008	35	35	1	0	11	15
NONE	OG0000009	27	47	13	0	3	4
NONE	OG0000010	1	61	1	5	7	17
NONE	OG0000011	4	4	13	10	33	26
NONE	OG0000012	0	84	1	0	1	3
NONE	OG0000013	25	22	0	3	19	19
NONE	OG0000014	0	47	2	2	12	24
NONE	OG0000015	3	69	1	0	4	9
NONE	OG0000016	25	39	10	0	0	7
NONE	OG0000017	2	35	4	4	29	7
NONE	OG0000018	0	16	54	4	1	5
NONE	OG0000019	12	12	6	11	19	18
NONE	OG0000020	64	8	2	0	2	1
NONE	OG0000021	25	31	1	1	8	11
NONE	OG0000022	9	19	6	0	26	17
NONE	OG0000023	0	58	0	0	10	9
NONE	OG0000024	0	66	0	0	4	3
NONE	OG0000025	2	58	1	0	4	5
NONE	OG0000026	0	15	9	0	19	27
NONE	OG0000027	13	47	0	0	7	3
NONE	OG0000028	0	0	0	0	46	24
NONE	OG0000029	0	53	0	1	10	5
NONE	OG0000030	0	68	0	0	1	0
NONE	OG0000031	2	40	2	0	11	13
NONE	OG0000032	0	0	20	6	25	17
NONE	OG0000033	0	27	0	0	34	6
NONE	OG0000034	0	42	0	0	9	14
NONE	OG0000035	7	25	8	3	12	9
NONE	OG0000036	0	54	1	0	5	3
NONE	OG0000037	0	34	1	0	16	12
NONE	OG0000038	15	16	4	1	13	13
NONE	OG0000039	0	55	6	0	0	0
NONE	OG0000040	0	13	44	0	1	3
NONE	OG0000041	3	3	29	25	0	0
NONE	OG0000042	17	27	2	0	7	5
NONE	OG0000043	7	12	3	4	21	10
NONE	OG0000044	0	46	0	0	3	8
NONE	OG0000045	15	24	0	0	9	8
NONE	OG0000046	4	3	0	0	25	24
NONE	OG0000047	22	17	0	0	8	8
NONE	OG0000048	0	26	1	0	16	11
NONE	OG0000049	0	48	0	0	4	1
NONE	OG0000050	10	15	6	2	9	9
NONE	OG0000051	8	10	1	1	17	12
NONE	OG0000052	0	43	0	0	4	2
NONE	OG0000053	9	10	5	5	11	8
NONE	OG0000054	3	11	2	3	18	11
NONE	OG0000055	5	7	6	6	15	9
NONE	OG0000056	17	20	0	0	5	5
NONE	OG0000057	4	8	5	6	13	11
